# Reading tables
# Performing tests for hashjoin_omp
# Thread count	Time	
1	297	
2	396	
4	312	
6	325	
8	267	
12	211	
24	181	
# Thread count	Time	
1	398	
2	425	
4	282	
6	243	
8	227	
12	216	
24	195	
# Thread count	Time	
1	426	
2	449	
4	385	
6	280	
8	284	
12	233	
24	200	
# Thread count	Time	
1	428	
2	383	
4	347	
6	310	
8	250	
12	233	
24	192	
# Thread count	Time	
1	425	
2	396	
4	401	
6	345	
8	286	
12	228	
24	189	
# Thread count	Time	
1	376	
2	235	
4	364	
6	311	
8	300	
12	259	
24	193	
# Thread count	Time	
1	421	
2	254	
4	386	
6	302	
8	276	
12	233	
24	207	
# Thread count	Time	
1	428	
2	257	
4	376	
6	354	
8	287	
12	222	
24	185	
# Thread count	Time	
1	362	
2	448	
4	288	
6	282	
8	249	
12	195	
24	177	
# Thread count	Time	
1	326	
2	365	
4	334	
6	334	
8	295	
12	234	
24	202	
# Total time in algorithm: 2090 ms
# Ellapsed time: 38.6521 seconds
