# Reading tables
# Performing tests for hashjoin_omp
# Thread count	Time	
1	2900	
2	3362	
4	2847	
6	2560	
8	2198	
12	2174	
24	2006	
# Thread count	Time	
1	2658	
2	3610	
4	2844	
6	2500	
8	2397	
12	1999	
24	1861	
# Thread count	Time	
1	2658	
2	3801	
4	2685	
6	2368	
8	2500	
12	2097	
24	1933	
# Thread count	Time	
1	2681	
2	3619	
4	2557	
6	2679	
8	2203	
12	2131	
24	2057	
# Thread count	Time	
1	2709	
2	3527	
4	2823	
6	2636	
8	2236	
12	2099	
24	1868	
# Thread count	Time	
1	2710	
2	3501	
4	2768	
6	2404	
8	2100	
12	2020	
24	1789	
# Thread count	Time	
1	2630	
2	3474	
4	2571	
6	2404	
8	2363	
12	2055	
24	1775	
# Thread count	Time	
1	2657	
2	3493	
4	2606	
6	2785	
8	2163	
12	2205	
24	1905	
# Thread count	Time	
1	2631	
2	3484	
4	2753	
6	2348	
8	2191	
12	1906	
24	1844	
# Thread count	Time	
1	2701	
2	2085	
4	2777	
6	2221	
8	2259	
12	1944	
24	1750	
# Total time in algorithm: 15737 ms
# Ellapsed time: 359.727 seconds
