# Reading tables
# Performing tests for hashjoin_omp
# Thread count	Time	
1	2903	
2	3638	
4	3062	
6	2486	
8	2201	
12	1995	
24	1969	
32	1799	
64	1554	
128	1479	
# Thread count	Time	
1	2651	
2	3509	
4	2537	
6	2739	
8	2300	
12	2086	
24	1769	
32	1758	
64	1529	
128	1554	
# Thread count	Time	
1	2644	
2	2299	
4	2765	
6	2317	
8	2309	
12	2108	
24	1813	
32	1822	
64	1579	
128	1396	
# Thread count	Time	
1	2623	
2	2161	
4	2685	
6	2494	
8	2254	
12	2079	
24	1762	
32	1760	
64	1418	
128	1254	
# Thread count	Time	
1	2633	
2	3651	
4	2866	
6	2480	
8	2408	
12	1985	
24	1927	
32	1629	
64	1528	
128	1373	
# Thread count	Time	
1	2695	
2	2044	
4	2561	
6	2742	
8	2242	
12	1984	
24	1844	
32	1778	
64	1623	
128	1459	
# Thread count	Time	
1	2672	
2	3565	
4	2583	
6	2675	
8	2278	
12	2169	
24	1969	
32	1700	
64	1511	
128	1470	
# Thread count	Time	
1	2659	
2	3587	
4	2679	
6	2756	
8	2314	
12	2143	
24	1911	
32	1799	
64	1538	
128	1535	
# Thread count	Time	
1	2637	
2	3475	
4	2853	
6	2643	
8	2231	
12	2008	
24	1878	
32	1598	
64	1491	
128	1507	
# Thread count	Time	
1	2729	
2	3264	
4	2548	
6	2738	
8	2386	
12	1906	
24	1698	
32	1825	
64	1588	
128	1469	
# Total time in algorithm: 22151 ms
# Ellapsed time: 399.099 seconds
